,title,page_link,writer,script_link,script_downloaded
132,Bad Santa,https://imsdb.com/Movie%20Scripts/Bad%20Santa%20Script.html,"Written by Glenn Ficarra,John Requa",https://imsdb.com/scripts/Bad-Santa.html,Yes
133,Bad Teacher,https://imsdb.com/Movie%20Scripts/Bad%20Teacher%20Script.html,"Written by Lee Eisenberg,Gene Stupnitsky",https://imsdb.com/scripts/Bad-Teacher.html,Yes
134,Badlands,https://imsdb.com/Movie%20Scripts/Badlands%20Script.html,Written by Terence Malick,https://imsdb.com/scripts/Badlands.html,Yes
135,Bamboozled,https://imsdb.com/Movie%20Scripts/Bamboozled%20Script.html,Written by Spike Lee,https://imsdb.com/scripts/Bamboozled.html,Yes
136,Barry Lyndon,https://imsdb.com/Movie%20Scripts/Barry%20Lyndon%20Script.html,Written by Stanley Kubrick,https://imsdb.com/scripts/Barry-Lyndon.html,Yes
137,Barton Fink,https://imsdb.com/Movie%20Scripts/Barton%20Fink%20Script.html,"Written by Joel Coen,Ethan Coen",https://imsdb.com/scripts/Barton-Fink.html,Yes
138,Basic,https://imsdb.com/Movie%20Scripts/Basic%20Script.html,Written by James Vanderbilt,https://imsdb.com/scripts/Basic.html,Yes
139,Basic Instinct,https://imsdb.com/Movie%20Scripts/Basic%20Instinct%20Script.html,Written by Joe Eszterhas,https://imsdb.com/scripts/Basic-Instinct.html,Yes
140,Basquiat,https://imsdb.com/Movie%20Scripts/Basquiat%20Script.html,Written by Julian Schnabel,https://imsdb.com/scripts/Basquiat.html,Yes
141,Batman,https://imsdb.com/Movie%20Scripts/Batman%20Script.html,"Written by Sam Hamm,Warren Skaaren",https://imsdb.com/scripts/Batman.html,Yes
142,Batman 2,https://imsdb.com/Movie%20Scripts/Batman%202%20Script.html,Written by Sam Hamm,https://imsdb.com/scripts/Batman-2.html,Yes
143,"Battle of Algiers, The","https://imsdb.com/Movie%20Scripts/Battle%20of%20Algiers,%20The%20Script.html","Written by Gillo Pontecorvo,Franco Solinas","https://imsdb.com/scripts/Battle-of-Algiers,-The.html",Yes
144,"Battle of Shaker Heights, The","https://imsdb.com/Movie%20Scripts/Battle%20of%20Shaker%20Heights,%20The%20Script.html",Written by Erica Beeney,"https://imsdb.com/scripts/Battle-of-Shaker-Heights,-The.html",Yes
145,Battle: Los Angeles,https://imsdb.com/Movie%20Scripts/Battle:%20Los%20Angeles%20Script.html,Written by Chris Bertolini,https://imsdb.com/scripts/Battle-Los-Angeles.html,Yes
146,"Beach, The","https://imsdb.com/Movie%20Scripts/Beach,%20The%20Script.html","Written by Alex Garland,John Hodge","https://imsdb.com/scripts/Beach,-The.html",Yes
147,Bean,https://imsdb.com/Movie%20Scripts/Bean%20Script.html,"Written by Richard Curtist,Robin Briscoll",https://imsdb.com/scripts/Bean.html,Yes
148,Beasts of No Nation,https://imsdb.com/Movie%20Scripts/Beasts%20of%20No%20Nation%20Script.html,Written by Cary Joji Fukunaga,https://imsdb.com/scripts/Beasts-of-No-Nation.html,Yes
149,Beasts of the Southern Wild,https://imsdb.com/Movie%20Scripts/Beasts%20of%20the%20Southern%20Wild%20Script.html,"Written by Lucy Alibar,Benh Zeitlin",https://imsdb.com/scripts/Beasts-of-the-Southern-Wild.html,Yes
150,Beauty and the Beast,https://imsdb.com/Movie%20Scripts/Beauty%20and%20the%20Beast%20Script.html,"Written by Stephen Chbosky,Evan Spiliotopoulos",https://imsdb.com/scripts/Beauty-and-the-Beast.html,Yes
151,Beavis and Butt-head Do America,https://imsdb.com/Movie%20Scripts/Beavis%20and%20Butt-head%20Do%20America%20Script.html,"Written by Mike Judge,Joe Stillman",https://imsdb.com/scripts/Beavis-and-Butt-head-Do-America.html,Yes
152,Beginners,https://imsdb.com/Movie%20Scripts/Beginners%20Script.html,Written by Mike Mills,https://imsdb.com/scripts/Beginners.html,Yes
153,Being Human,https://imsdb.com/Movie%20Scripts/Being%20Human%20Script.html,Written by Bill Forsyth,https://imsdb.com/scripts/Being-Human.html,Yes
